Date,Day,Time,Ambient Temperature °C,Grid Units Consumed (KWh),Total Units Consumed (KWh),Total Units Consumed in INR,Energy Saving in INR
2026-03-19,Thursday,09:00,9-29,4088,4878,29065.68,5616.9
2026-03-18,Wednesday,09:00,11-31,4186,4957,29762.46,5481.81
2026-03-17,Tuesday,09:00,11-31,3584,4421,25482.24,5951.07
2026-03-16,Monday,09:00,11-31,1400,2391,9954.0,7046.01
2026-03-15,Sunday,09:00,11-31,3612,3859,25681.32,1756.17
2026-03-14,Saturday,09:00,11-31,3612,4114,25681.32,3569.22
2026-03-13,Friday,09:00,11-31,4242,4939,30160.62,4955.67
2026-03-12,Thursday,09:00,11-31,4368,4988,31056.48,4408.2
2026-03-11,Wednesday,09:00,11-31,4592,5294,32649.12,4991.22
2026-03-10,Tuesday,09:00,11-31,3976,4405,28269.36,3050.19
2026-03-09,Monday,09:00,11-31,1582,1981,11248.02,2836.89
2026-03-08,Sunday,09:00,12-37,2590,3134,18414.9,3867.84
2026-03-07,Saturday,09:00,11-36,4032,4566,28667.52,3796.74
2026-03-06,Friday,09:00,11-31,4046,4612,28767.06,4024.26
2026-03-05,Thursday,09:00,11-31,1876,2496,13338.36,4408.2
2026-03-04,Wednesday,09:00,10-29,2730,3349,19410.3,4401.09
2026-03-03,Tuesday,09:00,11-32,3388,4098,24088.68,5048.1
2026-03-02,Monday,09:00,11-29,1610,2089,11447.1,3405.69
2026-03-01,Sunday,09:00,10-30,2450,3117,17419.5,4742.37
2026-02-28,Saturday,09:00,11-29,2884,3509,20505.24,4443.75
2026-02-27,Friday,09:00,11-31,2842,3543,20206.62,4984.11
2026-02-26,Thursday,09:00,11-29,3262,3976,23192.82,5076.54
2026-02-25,Wednesday,09:00,11-29,3220,3833,22894.2,4358.43
2026-02-24,Tuesday,09:00,9-29,3150,3848,22396.5,4962.78
2026-02-23,Monday,09:00,8-24,1540,2151,10949.4,4344.21
2026-02-22,Sunday,09:00,8-26,2100,2894,14931.0,5645.34
2026-02-21,Saturday,09:00,8-24,3024,3630,21500.64,4308.66
2026-02-20,Friday,09:00,9-28,2940,3681,20903.4,5268.51
2026-02-19,Thursday,09:00,8-24,3654,3791,25979.94,974.07
2026-02-18,Wednesday,09:00,8-23,2968,3681,21102.48,5069.43
2026-02-17,Tuesday,09:00,8-29,2632,3458,18713.52,5872.86
2026-02-16,Monday,09:00,8-24,1722,2174,12243.42,3213.72
